Description,lat_lon,address,Date,name
"Also known as the First African Baptist Church, it was built in 1806 and is now the oldest black church edifice still standing in the United States.",42.21′36″N 71.03′56″W,8 Smith Ct Beacon Hill,"May 30, 1974",african meeting house
"Residence of Nathan Appleton, a businessman involved in expanding the textile industry. His son-in-law was Henry Wadsworth Longfellow, who married Appleton's daughter Fanny in this house.",42.21′25″N 71.03′59″W,39–40 Beacon Street Beacon Hill,"December 22, 1977",nathan appleton residence
"Harvard University-owned arboretum, founded in 1872 and designed by Frederick Law Olmsted.",42.17′52″N 71.07′22″W,Jamaica Plain,"January 12, 1965",arnold arboretum
"The home of textile businessman Frederick Ayer, its interior is one of few designed by Louis Comfort Tiffany, and its exterior has the only surviving instance of an outside mosaic by Tiffany.",42.20′57″N 71.05′25″W,395 Commonwealth Ave. Back Bay,"April 5, 2005",frederick ayer mansion
"This architecturally significant neighborhood includes buildings designed by Charles Bulfinch, and has been home to many famous people, including nationally prominent politicians, businessmen, and academics.",42.21′30″N 71.03′58″W,Beacon Hill,"December 29, 1962",beacon hill historic district
"Home of one of the nation's oldest and largest independent private libraries, this building was designed by Edward Clarke Cabot.",42.21′30″N 71.03′43″W,10 1/2 Beacon Street Beacon Hill,"December 21, 1965",boston athenaeum
"Established in 1634, the Common is the nation's oldest public park.",42.21′18″N 71.03′56″W,Beacon Hill,"February 27, 1987",boston common
"The nation's second oldest standing lighthouse, Boston Light was built on the site of the first lighthouse in what is now the United States. It is the only lighthouse permanently staffed by the United States Coast Guard.",42.19′40″N 70.53′24″W,Little Brewster Island Boston Harbor,"January 29, 1964",boston light
"One of the USA's oldest shipyards, this shipyard is home to two NHL ships (USS Constitution and USS Cassin Young), and has the only surviving ropewalk that has not been moved or significantly altered.",42.22′26″N 71.03′23″W,Charlestown,"November 13, 1966",boston naval shipyard
"The nation's first public botanical garden, it was laid out in the French Second Empire style in the 1860s.",42.21′15″N 71.04′12″W,Back Bay,"February 27, 1987",boston public garden
"Built in the 1880s to a design by Charles Follen McKim inspired by similar European institutions, this building features murals by John Singer Sargent and Bates Hall, its large and light-filled reading room.",42.20′59″N 71.04′39″W,230 Dartmouth Street Back Bay,"February 24, 1986",boston public library
Site of an experimental utopian community based on Transcendentalist and Unitarian thought.,42.17′29″N 71.10′27″W,670 Baker Street West Roxbury,"July 23, 1965",brook farm
"This monument, built in the mid-19th century, stands atop Breed's Hill, site of most of the fighting in the 1775 Battle of Bunker Hill.",42.22′35″N 71.03′39″W,Charlestown,"January 20, 1961",bunker hill monument
"A Fletcher-class destroyer, USS Cassin Young was a ship of the United States Navy. Launched during the Second World War, she saw action in the Battle of Leyte and the Battle of Okinawa. She received seven battle stars and a Navy Unit Commendation for her war service.",42.22′20″N 71.03′16″W,Boston Navy Yard Charlestown,"January 14, 1986",uss cassin young (destroyer)
This church has the largest intact Tiffany-designed ecclesiastical interior in its original location in America.,42.21′08″N 71.04′27″W,67 Newbury Street Back Bay,"October 16, 2012",central congregational church
"The world's oldest floating commissioned naval vessel. Launched in 1797, she saw action in the Quasi-War and the War of 1812. She later became a training ship, and presently serves as a museum ship. She last sailed under her own power in August, 2012, to commemorate the 200th anniversary of her victory over Guerriere.",42.22′20″N 71.03′20″W,Boston Navy Yard Charlestown,"December 19, 1960",uss constitution (frigate)
"The operating room of the Massachusetts General Hospital from 1821 to 1867, the Ether Dome was the site of the first public demonstration of the use of ether as an anesthetic.",42.21′49″N 71.04′04″W,55 Fruit Street West End,"January 12, 1965","ether dome, massachusetts general hospital"
"Built on the site of a building originally donated by Huguenot merchant Peter Faneuil to the city of Boston, this iconic market building and meeting house was built in the 1760s and expanded in the 19th century by architect Charles Bulfinch. It was the site of many public meetings during the American Revolution.",42.21′36″N 71.03′23″W,Downtown,"October 9, 1960",faneuil hall
This building was purpose-built as studios for artists in 1904–1905 in the Arts and Crafts style.,42.20′51″N 71.05′23″W,Fenway–Kenmore,"August 5, 1998",fenway studios
"Home built for Federalist Party leader Harrison Gray Otis, designed by architect Charles Bulfinch.",42.21′40″N 71.03′53″W,141 Cambridge St. West End,"December 30, 1970",first harrison gray otis house
"A 19th-century fortification built in Boston Harbor, Fort Warren saw service through the First World War. It is named for Dr. Joseph Warren, a Revolutionary War political leader who was killed in the Battle of Bunker Hill.",42.19′13″N 70.55′39″W,Georges Island,"May 22, 1970",fort warren
"Home of abolitionist leader William Lloyd Garrison, publisher of the anti-slavery newspaper The Liberator.",42.19′33″N 71.05′36″W,125 Highland St. Roxbury,"June 23, 1965",william lloyd garrison house
"This Victorian rowhouse is believed to be the only one of its type to preserve both internal and external architectural design elements. Designed by architect Edward Clarke Cabot, the house remained in one family until being opened as a house museum in 1957.",42.21′18″N 71.04′28″W,137 Beacon Street Back Bay,"August 7, 2001",gibson house
Federal style home of portrait artist Chester Harding.,42.21′29″N 71.03′45″W,16 Beacon Street Beacon Hill,"December 21, 1965",chester harding house
"Built in 1903, this stadium was the prototype for numerous other stadia, and was at the time the largest structure constructed from reinforced concrete.",42.21′59″N 71.07′38″W,95 North Harvard St. Allston,"February 27, 1987",harvard stadium
"Home of noted abolitionists Julia Ward Howe and Samuel Gridley Howe, designed by Charles Bulfinch.",42.21′28″N 71.04′00″W,13 Chestnut Street Beacon Hill,"May 30, 1974",samuel gridley and julia ward howe house
"Now home to a Unitarian Universalist congregation, King's Chapel was built on the site of the first Anglican church in Boston.",42.21′29″N 71.03′37″W,Corner of Tremont and School Street Downtown,"October 9, 1960",king's chapel
"The largest lightship ever built, and the last active lightship at the time of its nomination.",42.21′40″N 71.02′07″W,East Boston,"December 20, 1989","lightship no. 112, ""nantucket"""
"This wharf was constructed in the early 18th century, and was for many years one of the busiest commercial wharves in Great Britain's North American colonies. The wharf has been much shortened by land reclamation, and is now home to a hotel and other businesses.",42.21′37″N 71.02′55″W,Foot of State Street Boston,"November 13, 1966",long wharf and custom house block
"The original building for the Massachusetts General Hospital, one of the nation's earliest public hospitals, was designed by Charles Bulfinch. It is the location of the Ether Dome, also a National Historic Landmark.",42.21′49″N 71.04′03″W,55 Fruit Street West End,"December 30, 1970",massachusetts general hospital
"This building (built 1899) is home to the Massachusetts Historical Society, the oldest (founded 1791) historic society in the nation.",42.20′48″N 71.05′24″W,1154 Boylston St. Fenway–Kenmore,"December 21, 1965",massachusetts historical society building
"The state's capitol building, it was built in the 1790s to a design by Charles Bulfinch, with major additions executed in the 1890s to designs by Charles Brigham. The dome was originally sheathed by copper rolled by Paul Revere, but is now covered in gold leaf.",42.21′30″N 71.03′50″W,Beacon Hill,"December 19, 1960",massachusetts statehouse
Home of abolitionist and education advocate William Cooper Nell.,42.21′36″N 71.03′55″W,3 Smith Ct Beacon Hill,"May 11, 1976",william c. nell residence
"The conservatory's 1903 building houses Jordan Hall, a performance space noted for its excellent acoustics.",42.20′29″N 71.05′12″W,30 Gainsborough Street Fenway–Kenmore,"April 19, 1994",new england conservatory of music
"Designed by Charles Amos Cummings and Willard T. Sears and opened in 1872, this facility was the first public hospital run by women doctors in New England. The organization is now known as the Dimock Center.",42.19′11″N 71.05′51″W,41 and 55 Dimock St. Roxbury,"July 17, 1991",new england hospital for women and children
"This building was one of the first in the nation to be designed in the Second Empire style, and served as a prototype for other such buildings, including the Old Executive Office Building in Washington, DC. Designed by Gridley James Fox Bryant and Arthur Gilman, it served as city hall from 1865 to 1969.",42.21′29″N 71.03′33″W,45 School St. Downtown,"December 30, 1970",old city hall (boston)
"This church, built in 1723 in a style inspired by English architect Christopher Wren, is the oldest active church building in Boston. It was where Paul Revere ordered lanterns hung (""one if by land, two if by sea, and I on the opposite shore will be"") to notify others of British troop movements prior to the Battles of Lexington and Concord.",42.21′59″N 71.03′17″W,193 Salem St. North End,"January 20, 1961",old north church
"Built in 1873 to designs by Charles Amos Cummings and Willard T. Sears, this church is home to one of the city's oldest congregations (established 1670).",42.21′00″N 71.04′40″W,645 Boylston St. Back Bay,"December 30, 1970",old south church in boston
"An active church as well as a museum, this 1729 building was where the Boston Tea Party was planned on December 16, 1773. It was also the site of other Revolutionary era public gatherings.",42.21′25″N 71.03′31″W,310 Washington St. Downtown Crossing,"October 9, 1960",old south meeting house
"This building, constructed 1712, served as the seat of Massachusetts colonial and state government until 1793, when the current state house was built. It was outside this building that the Boston Massacre took place on March 5, 1770.",42.21′31″N 71.03′27″W,206 Washington St. Downtown Crossing,"October 9, 1960",old state house
"This 1806 church (designed by Asher Benjamin) was built on the site of an earlier church whose congregation was noted for its opposition to British rule. Its most famous preacher of the Revolutionary era was Jonathan Mayhew, who may have coined the phrase ""no taxation without representation"".",42.21′41″N 71.03′51″W,131 Cambridge St. West End,"December 30, 1970",old west church
Home of noted historian and horticulturalist Francis Parkman.,42.21′26″N 71.04′07″W,50 Chestnut St. Beacon Hill,"December 29, 1962",francis parkman house
"This house is a rare pre-Georgian brick house, built circa 1711. It is next door to the Paul Revere House, and owned by the Paul Revere Memorial Association.",42.21′49″N 71.03′13″W,29 North Square North End,"October 18, 1968",pierce–hichborn house
"Also known as Headquarters House, this 1808 house (one half of a duplex rowhouse) was designed by Asher Benjamin and was home of the noted blind historian William H. Prescott.",42.21′24″N 71.04′06″W,55 Beacon Street Beacon Hill,"December 29, 1964",william h. prescott house
